key,page,page_link,english,translation,context,source_locations
aqiq-tools-co2-battle.formatfieldlabel.column.name.column.unit.32b8f55a,aqiq/tools/co2-battle,https://hanniganairquality.github.io/PBLinRuralSchools/aqiq/tools/co2-battle/,${formatFieldLabel(column.name)}${column.unit ?,,JavaScript UI text,assets/js/viewers/aqiq-co2-battle.js:159
aqiq-tools-co2-battle.getpodname.winningpod.leads.by.formatreading.difference.formatunitsuffix.6d99fb5a,aqiq/tools/co2-battle,https://hanniganairquality.github.io/PBLinRuralSchools/aqiq/tools/co2-battle/,${getPodName(winningPod)} leads by ${formatReading(difference)}${formatUnitSuffix()},,JavaScript UI text,assets/js/viewers/aqiq-co2-battle.js:343
aqiq-tools-co2-battle.version.section.has.no.columns.a11e6667,aqiq/tools/co2-battle,https://hanniganairquality.github.io/PBLinRuralSchools/aqiq/tools/co2-battle/,${version} ${section} has no columns.,,JavaScript UI text,assets/js/core/ypod-yaml.js:271
aqiq-tools-co2-battle.version.does.not.define.section.dd422acd,aqiq/tools/co2-battle,https://hanniganairquality.github.io/PBLinRuralSchools/aqiq/tools/co2-battle/,${version} does not define ${section}.,,JavaScript UI text,assets/js/core/ypod-yaml.js:265
aqiq-tools-co2-battle.version.was.not.found.in.the.pod.027bb5b2,aqiq/tools/co2-battle,https://hanniganairquality.github.io/PBLinRuralSchools/aqiq/tools/co2-battle/,${version} was not found in the POD YAML.,,JavaScript UI text,assets/js/core/ypod-yaml.js:259
aqiq-tools-co2-battle.advanced.settings.2e8bbf39,aqiq/tools/co2-battle,https://hanniganairquality.github.io/PBLinRuralSchools/aqiq/tools/co2-battle/,Advanced settings,,summary text,aqiq/tools/co2-battle/index.html:59
aqiq-tools-co2-battle.aqiq.co2.battle.haq.lab.pbl.d7dae399,aqiq/tools/co2-battle,https://hanniganairquality.github.io/PBLinRuralSchools/aqiq/tools/co2-battle/,AQIQ CO2 Battle | HAQ Lab PBL,,title text,aqiq/tools/co2-battle/index.html:6
aqiq-tools-co2-battle.aqiq.hub.b5299b7c,aqiq/tools/co2-battle,https://hanniganairquality.github.io/PBLinRuralSchools/aqiq/tools/co2-battle/,AQIQ hub,,a text,aqiq/tools/co2-battle/index.html:13
aqiq-tools-co2-battle.aqiq.lesson.1.623f18b4,aqiq/tools/co2-battle,https://hanniganairquality.github.io/PBLinRuralSchools/aqiq/tools/co2-battle/,AQIQ Lesson 1,,p text,aqiq/tools/co2-battle/index.html:21
aqiq-tools-co2-battle.battle.f5552713,aqiq/tools/co2-battle,https://hanniganairquality.github.io/PBLinRuralSchools/aqiq/tools/co2-battle/,Battle,,h1 text,aqiq/tools/co2-battle/index.html:22
