key,page,page_link,english,translation,context,source_locations
aqiq-tools-data-plotter.rh.10da85d0,aqiq/tools/data-plotter,https://hanniganairquality.github.io/PBLinRuralSchools/aqiq/tools/data-plotter/,[%RH],,span text,aqiq/tools/data-plotter/index.html:96
aqiq-tools-data-plotter.adu.c08c07e7,aqiq/tools/data-plotter,https://hanniganairquality.github.io/PBLinRuralSchools/aqiq/tools/data-plotter/,[ADU],,span text,aqiq/tools/data-plotter/index.html:100
aqiq-tools-data-plotter.celsius.3f2a0f34,aqiq/tools/data-plotter,https://hanniganairquality.github.io/PBLinRuralSchools/aqiq/tools/data-plotter/,[Celsius],,span text,aqiq/tools/data-plotter/index.html:95
aqiq-tools-data-plotter.ppm.f3842795,aqiq/tools/data-plotter,https://hanniganairquality.github.io/PBLinRuralSchools/aqiq/tools/data-plotter/,[ppm],,span text,aqiq/tools/data-plotter/index.html:97; aqiq/tools/data-plotter/index.html:98
aqiq-tools-data-plotter.ug.m.3.5386c6a5,aqiq/tools/data-plotter,https://hanniganairquality.github.io/PBLinRuralSchools/aqiq/tools/data-plotter/,[ug/m^3],,span text,aqiq/tools/data-plotter/index.html:99
aqiq-tools-data-plotter.advanced.settings.and.file.details.1bf227db,aqiq/tools/data-plotter,https://hanniganairquality.github.io/PBLinRuralSchools/aqiq/tools/data-plotter/,Advanced settings and file details,,summary text,aqiq/tools/data-plotter/index.html:39
aqiq-tools-data-plotter.aqiq.csv.charts.789f672d,aqiq/tools/data-plotter,https://hanniganairquality.github.io/PBLinRuralSchools/aqiq/tools/data-plotter/,AQIQ CSV charts,,section[aria-label],aqiq/tools/data-plotter/index.html:94
aqiq-tools-data-plotter.aqiq.data.visualization.a0bdadce,aqiq/tools/data-plotter,https://hanniganairquality.github.io/PBLinRuralSchools/aqiq/tools/data-plotter/,AQIQ data visualization,,p text,aqiq/tools/data-plotter/index.html:21
aqiq-tools-data-plotter.aqiq.data.visualization.haq.lab.pbl.ecde2d34,aqiq/tools/data-plotter,https://hanniganairquality.github.io/PBLinRuralSchools/aqiq/tools/data-plotter/,AQIQ Data Visualization | HAQ Lab PBL,,title text,aqiq/tools/data-plotter/index.html:6
aqiq-tools-data-plotter.aqiq.hub.b5299b7c,aqiq/tools/data-plotter,https://hanniganairquality.github.io/PBLinRuralSchools/aqiq/tools/data-plotter/,AQIQ hub,,a text,aqiq/tools/data-plotter/index.html:13
aqiq-tools-data-plotter.basic.plot.selection.d3e7160b,aqiq/tools/data-plotter,https://hanniganairquality.github.io/PBLinRuralSchools/aqiq/tools/data-plotter/,Basic plot selection,,section[aria-label],aqiq/tools/data-plotter/index.html:82
aqiq-tools-data-plotter.carbon.dioxide.8468c776,aqiq/tools/data-plotter,https://hanniganairquality.github.io/PBLinRuralSchools/aqiq/tools/data-plotter/,Carbon Dioxide,,h2 text,aqiq/tools/data-plotter/index.html:97
aqiq-tools-data-plotter.carbon.monoxide.74562b09,aqiq/tools/data-plotter,https://hanniganairquality.github.io/PBLinRuralSchools/aqiq/tools/data-plotter/,Carbon Monoxide,,h2 text,aqiq/tools/data-plotter/index.html:98
aqiq-tools-data-plotter.co.550729bf,aqiq/tools/data-plotter,https://hanniganairquality.github.io/PBLinRuralSchools/aqiq/tools/data-plotter/,CO,,input text,aqiq/tools/data-plotter/index.html:88
aqiq-tools-data-plotter.co2.7765f1ee,aqiq/tools/data-plotter,https://hanniganairquality.github.io/PBLinRuralSchools/aqiq/tools/data-plotter/,CO2,,input text,aqiq/tools/data-plotter/index.html:87
aqiq-tools-data-plotter.data.visualization.controls.426ff98b,aqiq/tools/data-plotter,https://hanniganairquality.github.io/PBLinRuralSchools/aqiq/tools/data-plotter/,Data visualization controls,,section[aria-label],aqiq/tools/data-plotter/index.html:26
aqiq-tools-data-plotter.elapsed.from.start.791ea68c,aqiq/tools/data-plotter,https://hanniganairquality.github.io/PBLinRuralSchools/aqiq/tools/data-plotter/,Elapsed from start,,option text,aqiq/tools/data-plotter/index.html:64
aqiq-tools-data-plotter.elapsed.time.starts.the.recording.at.00.73e7dd27,aqiq/tools/data-plotter,https://hanniganairquality.github.io/PBLinRuralSchools/aqiq/tools/data-plotter/,Elapsed time starts the recording at 00:00:00. Recorded date and time preserves the timestamps stored in the file.,,span[data-help],aqiq/tools/data-plotter/index.html:63
aqiq-tools-data-plotter.export.graph.view.b4e3a4a1,aqiq/tools/data-plotter,https://hanniganairquality.github.io/PBLinRuralSchools/aqiq/tools/data-plotter/,Export graph view,,section[aria-label],aqiq/tools/data-plotter/index.html:103
aqiq-tools-data-plotter.export.graph.view.png.e410cc01,aqiq/tools/data-plotter,https://hanniganairquality.github.io/PBLinRuralSchools/aqiq/tools/data-plotter/,Export graph view PNG,,button text,aqiq/tools/data-plotter/index.html:104
aqiq-tools-data-plotter.file.readout.166ae9e1,aqiq/tools/data-plotter,https://hanniganairquality.github.io/PBLinRuralSchools/aqiq/tools/data-plotter/,File readout,,section[aria-label],aqiq/tools/data-plotter/index.html:74
aqiq-tools-data-plotter.haq.lab.pbl.ecd45bff,aqiq/tools/data-plotter,https://hanniganairquality.github.io/PBLinRuralSchools/aqiq/tools/data-plotter/,HAQ Lab PBL,,a text,aqiq/tools/data-plotter/index.html:11
aqiq-tools-data-plotter.haq.lab.university.of.colorado.dee0c56d,aqiq/tools/data-plotter,https://hanniganairquality.github.io/PBLinRuralSchools/aqiq/tools/data-plotter/,"HAQ Lab, University of Colorado",,span text,aqiq/tools/data-plotter/index.html:109
aqiq-tools-data-plotter.horizontal.zoom.help.96cb4fc2,aqiq/tools/data-plotter,https://hanniganairquality.github.io/PBLinRuralSchools/aqiq/tools/data-plotter/,Horizontal zoom help,,span[aria-label],aqiq/tools/data-plotter/index.html:67
aqiq-tools-data-plotter.horizontal.zoom.abd40009,aqiq/tools/data-plotter,https://hanniganairquality.github.io/PBLinRuralSchools/aqiq/tools/data-plotter/,Horizontal zoom:,,span text,aqiq/tools/data-plotter/index.html:67
aqiq-tools-data-plotter.humidity.65adb9c2,aqiq/tools/data-plotter,https://hanniganairquality.github.io/PBLinRuralSchools/aqiq/tools/data-plotter/,Humidity,,input text,aqiq/tools/data-plotter/index.html:86
aqiq-tools-data-plotter.interactive.carbon.dioxide.chart.1e4dc3d3,aqiq/tools/data-plotter,https://hanniganairquality.github.io/PBLinRuralSchools/aqiq/tools/data-plotter/,Interactive carbon dioxide chart,,canvas[aria-label],aqiq/tools/data-plotter/index.html:97
aqiq-tools-data-plotter.interactive.carbon.monoxide.chart.29abe108,aqiq/tools/data-plotter,https://hanniganairquality.github.io/PBLinRuralSchools/aqiq/tools/data-plotter/,Interactive carbon monoxide chart,,canvas[aria-label],aqiq/tools/data-plotter/index.html:98
aqiq-tools-data-plotter.interactive.light.and.heavy.voc.chart.b6be39fd,aqiq/tools/data-plotter,https://hanniganairquality.github.io/PBLinRuralSchools/aqiq/tools/data-plotter/,Interactive light and heavy VOC chart,,canvas[aria-label],aqiq/tools/data-plotter/index.html:100
aqiq-tools-data-plotter.interactive.particulate.matter.2.5.chart.ffe79042,aqiq/tools/data-plotter,https://hanniganairquality.github.io/PBLinRuralSchools/aqiq/tools/data-plotter/,Interactive particulate matter 2.5 chart,,canvas[aria-label],aqiq/tools/data-plotter/index.html:99
aqiq-tools-data-plotter.interactive.relative.humidity.chart.7c5fc5c4,aqiq/tools/data-plotter,https://hanniganairquality.github.io/PBLinRuralSchools/aqiq/tools/data-plotter/,Interactive relative humidity chart,,canvas[aria-label],aqiq/tools/data-plotter/index.html:96
aqiq-tools-data-plotter.interactive.temperature.chart.5b626cad,aqiq/tools/data-plotter,https://hanniganairquality.github.io/PBLinRuralSchools/aqiq/tools/data-plotter/,Interactive temperature chart,,canvas[aria-label],aqiq/tools/data-plotter/index.html:95
aqiq-tools-data-plotter.limit.the.plots.to.the.most.recent.ab7f9881,aqiq/tools/data-plotter,https://hanniganairquality.github.io/PBLinRuralSchools/aqiq/tools/data-plotter/,Limit the plots to the most recent number of minutes in the file. Use 0 to show the entire recording.,,span[data-help],aqiq/tools/data-plotter/index.html:55
aqiq-tools-data-plotter.live.viewer.cea59129,aqiq/tools/data-plotter,https://hanniganairquality.github.io/PBLinRuralSchools/aqiq/tools/data-plotter/,Live Viewer,,a text,aqiq/tools/data-plotter/index.html:14
aqiq-tools-data-plotter.load.csv.60c92e84,aqiq/tools/data-plotter,https://hanniganairquality.github.io/PBLinRuralSchools/aqiq/tools/data-plotter/,Load CSV,,button text,aqiq/tools/data-plotter/index.html:29
aqiq-tools-data-plotter.loading.ypod.schema.64b9ed1c,aqiq/tools/data-plotter,https://hanniganairquality.github.io/PBLinRuralSchools/aqiq/tools/data-plotter/,Loading YPOD schema...,,span text,aqiq/tools/data-plotter/index.html:52
aqiq-tools-data-plotter.no.file.loaded.fca044b8,aqiq/tools/data-plotter,https://hanniganairquality.github.io/PBLinRuralSchools/aqiq/tools/data-plotter/,No file loaded,,div text,aqiq/tools/data-plotter/index.html:32
aqiq-tools-data-plotter.particulate.matter.2.5.6a58c8e0,aqiq/tools/data-plotter,https://hanniganairquality.github.io/PBLinRuralSchools/aqiq/tools/data-plotter/,Particulate Matter 2.5,,h2 text,aqiq/tools/data-plotter/index.html:99
aqiq-tools-data-plotter.plots.shown.d10ca4f2,aqiq/tools/data-plotter,https://hanniganairquality.github.io/PBLinRuralSchools/aqiq/tools/data-plotter/,Plots shown,,legend text,aqiq/tools/data-plotter/index.html:84
aqiq-tools-data-plotter.pm2.5.95ce94ac,aqiq/tools/data-plotter,https://hanniganairquality.github.io/PBLinRuralSchools/aqiq/tools/data-plotter/,PM2.5,,input text,aqiq/tools/data-plotter/index.html:89
aqiq-tools-data-plotter.recorded.date.and.time.ce1b4c33,aqiq/tools/data-plotter,https://hanniganairquality.github.io/PBLinRuralSchools/aqiq/tools/data-plotter/,Recorded date and time,,option text,aqiq/tools/data-plotter/index.html:64
aqiq-tools-data-plotter.relative.humidity.66db8361,aqiq/tools/data-plotter,https://hanniganairquality.github.io/PBLinRuralSchools/aqiq/tools/data-plotter/,Relative Humidity,,h2 text,aqiq/tools/data-plotter/index.html:96
aqiq-tools-data-plotter.reset.44c57abd,aqiq/tools/data-plotter,https://hanniganairquality.github.io/PBLinRuralSchools/aqiq/tools/data-plotter/,Reset,,button text,aqiq/tools/data-plotter/index.html:35
aqiq-tools-data-plotter.reset.zoom.e5737972,aqiq/tools/data-plotter,https://hanniganairquality.github.io/PBLinRuralSchools/aqiq/tools/data-plotter/,Reset zoom,,button text,aqiq/tools/data-plotter/index.html:70
aqiq-tools-data-plotter.temperature.0a9062a9,aqiq/tools/data-plotter,https://hanniganairquality.github.io/PBLinRuralSchools/aqiq/tools/data-plotter/,Temperature,,h2 text; input text,aqiq/tools/data-plotter/index.html:85; aqiq/tools/data-plotter/index.html:95
aqiq-tools-data-plotter.time.alignment.8560b151,aqiq/tools/data-plotter,https://hanniganairquality.github.io/PBLinRuralSchools/aqiq/tools/data-plotter/,Time alignment,,span text,aqiq/tools/data-plotter/index.html:63
aqiq-tools-data-plotter.time.alignment.help.4afc23f8,aqiq/tools/data-plotter,https://hanniganairquality.github.io/PBLinRuralSchools/aqiq/tools/data-plotter/,Time alignment help,,span[aria-label],aqiq/tools/data-plotter/index.html:63
aqiq-tools-data-plotter.tool.navigation.e2b52eb8,aqiq/tools/data-plotter,https://hanniganairquality.github.io/PBLinRuralSchools/aqiq/tools/data-plotter/,Tool navigation,,nav[aria-label],aqiq/tools/data-plotter/index.html:12
aqiq-tools-data-plotter.view.window.min.0.all.f0d7381d,aqiq/tools/data-plotter,https://hanniganairquality.github.io/PBLinRuralSchools/aqiq/tools/data-plotter/,"View window (min, 0 = all)",,span text,aqiq/tools/data-plotter/index.html:55
aqiq-tools-data-plotter.view.window.help.3673df39,aqiq/tools/data-plotter,https://hanniganairquality.github.io/PBLinRuralSchools/aqiq/tools/data-plotter/,View window help,,span[aria-label],aqiq/tools/data-plotter/index.html:55
aqiq-tools-data-plotter.voc.7bf58ed6,aqiq/tools/data-plotter,https://hanniganairquality.github.io/PBLinRuralSchools/aqiq/tools/data-plotter/,VOC,,input text,aqiq/tools/data-plotter/index.html:90
aqiq-tools-data-plotter.volatile.organic.compounds.2fd439cd,aqiq/tools/data-plotter,https://hanniganairquality.github.io/PBLinRuralSchools/aqiq/tools/data-plotter/,Volatile Organic Compounds,,h2 text,aqiq/tools/data-plotter/index.html:100
aqiq-tools-data-plotter.yaml.source.54b3fe7d,aqiq/tools/data-plotter,https://hanniganairquality.github.io/PBLinRuralSchools/aqiq/tools/data-plotter/,YAML source,,span text,aqiq/tools/data-plotter/index.html:50
aqiq-tools-data-plotter.yaml.type.a8418b59,aqiq/tools/data-plotter,https://hanniganairquality.github.io/PBLinRuralSchools/aqiq/tools/data-plotter/,YAML type,,span text,aqiq/tools/data-plotter/index.html:46
aqiq-tools-data-plotter.yaml.version.e14975ea,aqiq/tools/data-plotter,https://hanniganairquality.github.io/PBLinRuralSchools/aqiq/tools/data-plotter/,YAML version,,span text,aqiq/tools/data-plotter/index.html:42
aqiq-tools-data-plotter.ypod.csv.visualization.3dd5dd6f,aqiq/tools/data-plotter,https://hanniganairquality.github.io/PBLinRuralSchools/aqiq/tools/data-plotter/,YPOD CSV Visualization,,h1 text,aqiq/tools/data-plotter/index.html:22
aqiq-tools-data-plotter.ypod.first.row.554014ec,aqiq/tools/data-plotter,https://hanniganairquality.github.io/PBLinRuralSchools/aqiq/tools/data-plotter/,YPOD first row,,span text,aqiq/tools/data-plotter/index.html:77
aqiq-tools-data-plotter.ypod.label.c399404e,aqiq/tools/data-plotter,https://hanniganairquality.github.io/PBLinRuralSchools/aqiq/tools/data-plotter/,YPOD label,,input[aria-label]; input[placeholder],aqiq/tools/data-plotter/index.html:28
aqiq-tools-data-plotter.ypod.rows.36479212,aqiq/tools/data-plotter,https://hanniganairquality.github.io/PBLinRuralSchools/aqiq/tools/data-plotter/,YPOD rows,,span text,aqiq/tools/data-plotter/index.html:75
aqiq-tools-data-plotter.ypod.skipped.rows.ced02d03,aqiq/tools/data-plotter,https://hanniganairquality.github.io/PBLinRuralSchools/aqiq/tools/data-plotter/,YPOD skipped rows,,span text,aqiq/tools/data-plotter/index.html:78
aqiq-tools-data-plotter.ypod.time.span.86826215,aqiq/tools/data-plotter,https://hanniganairquality.github.io/PBLinRuralSchools/aqiq/tools/data-plotter/,YPOD time span,,span text,aqiq/tools/data-plotter/index.html:76
