key,page,page_link,english,translation,context,source_locations
aqiq-tools-live-viewer.chart.sources.length.plots.axissummary.69ea5af4,aqiq/tools/live-viewer,https://hanniganairquality.github.io/PBLinRuralSchools/aqiq/tools/live-viewer/,${chart.sources.length} plots${axisSummary ?,,JavaScript UI text,assets/js/viewers/aqiq-live-viewer.js:2361
aqiq-tools-live-viewer.version.section.has.no.columns.a11e6667,aqiq/tools/live-viewer,https://hanniganairquality.github.io/PBLinRuralSchools/aqiq/tools/live-viewer/,${version} ${section} has no columns.,,JavaScript UI text,assets/js/core/ypod-yaml.js:271
aqiq-tools-live-viewer.version.does.not.define.section.dd422acd,aqiq/tools/live-viewer,https://hanniganairquality.github.io/PBLinRuralSchools/aqiq/tools/live-viewer/,${version} does not define ${section}.,,JavaScript UI text,assets/js/core/ypod-yaml.js:265
aqiq-tools-live-viewer.version.was.not.found.in.the.pod.027bb5b2,aqiq/tools/live-viewer,https://hanniganairquality.github.io/PBLinRuralSchools/aqiq/tools/live-viewer/,${version} was not found in the POD YAML.,,JavaScript UI text,assets/js/core/ypod-yaml.js:259
aqiq-tools-live-viewer.rh.57cad953,aqiq/tools/live-viewer,https://hanniganairquality.github.io/PBLinRuralSchools/aqiq/tools/live-viewer/,[% RH],,span text,aqiq/tools/live-viewer/index.html:140
aqiq-tools-live-viewer.adu.c08c07e7,aqiq/tools/live-viewer,https://hanniganairquality.github.io/PBLinRuralSchools/aqiq/tools/live-viewer/,[ADU],,span text,aqiq/tools/live-viewer/index.html:150
aqiq-tools-live-viewer.deg.c.2836ad6a,aqiq/tools/live-viewer,https://hanniganairquality.github.io/PBLinRuralSchools/aqiq/tools/live-viewer/,[deg C],,span text,aqiq/tools/live-viewer/index.html:130
aqiq-tools-live-viewer.ppm.f3842795,aqiq/tools/live-viewer,https://hanniganairquality.github.io/PBLinRuralSchools/aqiq/tools/live-viewer/,[ppm],,span text,aqiq/tools/live-viewer/index.html:161; aqiq/tools/live-viewer/index.html:171
aqiq-tools-live-viewer.ug.m.3.5386c6a5,aqiq/tools/live-viewer,https://hanniganairquality.github.io/PBLinRuralSchools/aqiq/tools/live-viewer/,[ug/m^3],,span text,aqiq/tools/live-viewer/index.html:182
aqiq-tools-live-viewer.advanced.settings.2e8bbf39,aqiq/tools/live-viewer,https://hanniganairquality.github.io/PBLinRuralSchools/aqiq/tools/live-viewer/,Advanced settings,,summary text,aqiq/tools/live-viewer/index.html:36
aqiq-tools-live-viewer.aqiq.hub.b5299b7c,aqiq/tools/live-viewer,https://hanniganairquality.github.io/PBLinRuralSchools/aqiq/tools/live-viewer/,AQIQ hub,,a text,aqiq/tools/live-viewer/index.html:14
aqiq-tools-live-viewer.aqiq.live.viewer.9e519d86,aqiq/tools/live-viewer,https://hanniganairquality.github.io/PBLinRuralSchools/aqiq/tools/live-viewer/,AQIQ live viewer,,p text,aqiq/tools/live-viewer/index.html:22
aqiq-tools-live-viewer.aqiq.live.viewer.haq.lab.pbl.eddbf8a4,aqiq/tools/live-viewer,https://hanniganairquality.github.io/PBLinRuralSchools/aqiq/tools/live-viewer/,AQIQ Live Viewer | HAQ Lab PBL,,title text,aqiq/tools/live-viewer/index.html:6
aqiq-tools-live-viewer.arrange.the.graphs.cabe27ec,aqiq/tools/live-viewer,https://hanniganairquality.github.io/PBLinRuralSchools/aqiq/tools/live-viewer/,Arrange the graphs,,JavaScript UI text,assets/js/core/live-viewer-tour.js:38
aqiq-tools-live-viewer.basic.plot.selection.d3e7160b,aqiq/tools/live-viewer,https://hanniganairquality.github.io/PBLinRuralSchools/aqiq/tools/live-viewer/,Basic plot selection,,section[aria-label],aqiq/tools/live-viewer/index.html:87
aqiq-tools-live-viewer.carbon.dioxide.8468c776,aqiq/tools/live-viewer,https://hanniganairquality.github.io/PBLinRuralSchools/aqiq/tools/live-viewer/,Carbon Dioxide,,h2 text,aqiq/tools/live-viewer/index.html:161
aqiq-tools-live-viewer.carbon.monoxide.74562b09,aqiq/tools/live-viewer,https://hanniganairquality.github.io/PBLinRuralSchools/aqiq/tools/live-viewer/,Carbon Monoxide,,h2 text,aqiq/tools/live-viewer/index.html:171
aqiq-tools-live-viewer.choose.the.ypod.firmware.schema.used.to.e0b0f6bd,aqiq/tools/live-viewer,https://hanniganairquality.github.io/PBLinRuralSchools/aqiq/tools/live-viewer/,Choose the YPOD firmware schema used to interpret incoming serial rows.,,span[data-help],aqiq/tools/live-viewer/index.html:39
aqiq-tools-live-viewer.choose.which.data.section.from.the.selected.086ec799,aqiq/tools/live-viewer,https://hanniganairquality.github.io/PBLinRuralSchools/aqiq/tools/live-viewer/,Choose which data section from the selected YAML version should map column names and units.,,span[data-help],aqiq/tools/live-viewer/index.html:44
aqiq-tools-live-viewer.choose.which.standard.live.plots.are.visible.db3b5853,aqiq/tools/live-viewer,https://hanniganairquality.github.io/PBLinRuralSchools/aqiq/tools/live-viewer/,Choose which standard live plots are visible.,,span[data-help],aqiq/tools/live-viewer/index.html:89
aqiq-tools-live-viewer.close.bbfa773e,aqiq/tools/live-viewer,https://hanniganairquality.github.io/PBLinRuralSchools/aqiq/tools/live-viewer/,Close,,JavaScript UI text,assets/js/core/live-viewer-tour.js:160
aqiq-tools-live-viewer.co.550729bf,aqiq/tools/live-viewer,https://hanniganairquality.github.io/PBLinRuralSchools/aqiq/tools/live-viewer/,CO,,input text; span text,aqiq/tools/live-viewer/index.html:121; aqiq/tools/live-viewer/index.html:94
aqiq-tools-live-viewer.co2.7765f1ee,aqiq/tools/live-viewer,https://hanniganairquality.github.io/PBLinRuralSchools/aqiq/tools/live-viewer/,CO2,,input text; span text,aqiq/tools/live-viewer/index.html:109; aqiq/tools/live-viewer/index.html:93
aqiq-tools-live-viewer.columns.cf723c59,aqiq/tools/live-viewer,https://hanniganairquality.github.io/PBLinRuralSchools/aqiq/tools/live-viewer/,Columns,,legend text,aqiq/tools/live-viewer/index.html:62
aqiq-tools-live-viewer.columns.help.4f441013,aqiq/tools/live-viewer,https://hanniganairquality.github.io/PBLinRuralSchools/aqiq/tools/live-viewer/,Columns help,,span[aria-label],aqiq/tools/live-viewer/index.html:62
