key,page,page_link,english,translation,context,source_locations
fire-iq-tools-data-plotter.file.name.loaded.1d745796,fire-iq/tools/data-plotter,https://hanniganairquality.github.io/PBLinRuralSchools/fire-iq/tools/data-plotter/,${file.name} loaded,,JavaScript UI text,assets/js/viewers/fireiq-data-plotter.js:362
fire-iq-tools-data-plotter.version.section.has.no.columns.a11e6667,fire-iq/tools/data-plotter,https://hanniganairquality.github.io/PBLinRuralSchools/fire-iq/tools/data-plotter/,${version} ${section} has no columns.,,JavaScript UI text,assets/js/core/ypod-yaml.js:271
fire-iq-tools-data-plotter.version.does.not.define.section.dd422acd,fire-iq/tools/data-plotter,https://hanniganairquality.github.io/PBLinRuralSchools/fire-iq/tools/data-plotter/,${version} does not define ${section}.,,JavaScript UI text,assets/js/core/ypod-yaml.js:265
fire-iq-tools-data-plotter.version.was.not.found.in.the.pod.027bb5b2,fire-iq/tools/data-plotter,https://hanniganairquality.github.io/PBLinRuralSchools/fire-iq/tools/data-plotter/,${version} was not found in the POD YAML.,,JavaScript UI text,assets/js/core/ypod-yaml.js:259
fire-iq-tools-data-plotter.ppm.f3842795,fire-iq/tools/data-plotter,https://hanniganairquality.github.io/PBLinRuralSchools/fire-iq/tools/data-plotter/,[ppm],,span text,fire-iq/tools/data-plotter/index.html:164; fire-iq/tools/data-plotter/index.html:175
fire-iq-tools-data-plotter.ug.m.3.5386c6a5,fire-iq/tools/data-plotter,https://hanniganairquality.github.io/PBLinRuralSchools/fire-iq/tools/data-plotter/,[ug/m^3],,span text,fire-iq/tools/data-plotter/index.html:186
fire-iq-tools-data-plotter.advanced.settings.2e8bbf39,fire-iq/tools/data-plotter,https://hanniganairquality.github.io/PBLinRuralSchools/fire-iq/tools/data-plotter/,Advanced settings,,summary text,fire-iq/tools/data-plotter/index.html:47
fire-iq-tools-data-plotter.basic.plot.selection.d3e7160b,fire-iq/tools/data-plotter,https://hanniganairquality.github.io/PBLinRuralSchools/fire-iq/tools/data-plotter/,Basic plot selection,,section[aria-label],fire-iq/tools/data-plotter/index.html:124
fire-iq-tools-data-plotter.carbon.dioxide.8468c776,fire-iq/tools/data-plotter,https://hanniganairquality.github.io/PBLinRuralSchools/fire-iq/tools/data-plotter/,Carbon Dioxide,,h2 text,fire-iq/tools/data-plotter/index.html:175
fire-iq-tools-data-plotter.carbon.monoxide.74562b09,fire-iq/tools/data-plotter,https://hanniganairquality.github.io/PBLinRuralSchools/fire-iq/tools/data-plotter/,Carbon Monoxide,,h2 text,fire-iq/tools/data-plotter/index.html:164
fire-iq-tools-data-plotter.clear.719ea396,fire-iq/tools/data-plotter,https://hanniganairquality.github.io/PBLinRuralSchools/fire-iq/tools/data-plotter/,Clear,,button text,fire-iq/tools/data-plotter/index.html:31; fire-iq/tools/data-plotter/index.html:39
fire-iq-tools-data-plotter.co.550729bf,fire-iq/tools/data-plotter,https://hanniganairquality.github.io/PBLinRuralSchools/fire-iq/tools/data-plotter/,CO,,input text,fire-iq/tools/data-plotter/index.html:127
