key,page,page_link,english,translation,context,source_locations
fire-iq-tools-live-viewer.getpoddisplayname.series.podkey.max.formatnumber.value.ff527e4f,fire-iq/tools/live-viewer,https://hanniganairquality.github.io/PBLinRuralSchools/fire-iq/tools/live-viewer/,${getPodDisplayName(series.podKey)} max ${formatNumber(value)},,JavaScript UI text,assets/js/viewers/fireiq-live-viewer.js:1082
fire-iq-tools-live-viewer.version.section.has.no.columns.a11e6667,fire-iq/tools/live-viewer,https://hanniganairquality.github.io/PBLinRuralSchools/fire-iq/tools/live-viewer/,${version} ${section} has no columns.,,JavaScript UI text,assets/js/core/ypod-yaml.js:271
fire-iq-tools-live-viewer.version.does.not.define.section.dd422acd,fire-iq/tools/live-viewer,https://hanniganairquality.github.io/PBLinRuralSchools/fire-iq/tools/live-viewer/,${version} does not define ${section}.,,JavaScript UI text,assets/js/core/ypod-yaml.js:265
fire-iq-tools-live-viewer.version.was.not.found.in.the.pod.027bb5b2,fire-iq/tools/live-viewer,https://hanniganairquality.github.io/PBLinRuralSchools/fire-iq/tools/live-viewer/,${version} was not found in the POD YAML.,,JavaScript UI text,assets/js/core/ypod-yaml.js:259
fire-iq-tools-live-viewer.ppm.f3842795,fire-iq/tools/live-viewer,https://hanniganairquality.github.io/PBLinRuralSchools/fire-iq/tools/live-viewer/,[ppm],,span text,fire-iq/tools/live-viewer/index.html:147; fire-iq/tools/live-viewer/index.html:158
fire-iq-tools-live-viewer.ug.m.3.5386c6a5,fire-iq/tools/live-viewer,https://hanniganairquality.github.io/PBLinRuralSchools/fire-iq/tools/live-viewer/,[ug/m^3],,span text,fire-iq/tools/live-viewer/index.html:169
fire-iq-tools-live-viewer.advanced.settings.2e8bbf39,fire-iq/tools/live-viewer,https://hanniganairquality.github.io/PBLinRuralSchools/fire-iq/tools/live-viewer/,Advanced settings,,summary text,fire-iq/tools/live-viewer/index.html:46
fire-iq-tools-live-viewer.arrange.the.graphs.cabe27ec,fire-iq/tools/live-viewer,https://hanniganairquality.github.io/PBLinRuralSchools/fire-iq/tools/live-viewer/,Arrange the graphs,,JavaScript UI text,assets/js/core/live-viewer-tour.js:38
fire-iq-tools-live-viewer.basic.plot.selection.d3e7160b,fire-iq/tools/live-viewer,https://hanniganairquality.github.io/PBLinRuralSchools/fire-iq/tools/live-viewer/,Basic plot selection,,section[aria-label],fire-iq/tools/live-viewer/index.html:107
fire-iq-tools-live-viewer.carbon.dioxide.8468c776,fire-iq/tools/live-viewer,https://hanniganairquality.github.io/PBLinRuralSchools/fire-iq/tools/live-viewer/,Carbon Dioxide,,JavaScript UI text; h2 text,assets/js/viewers/fireiq-live-viewer.js:57; fire-iq/tools/live-viewer/index.html:158
fire-iq-tools-live-viewer.carbon.monoxide.74562b09,fire-iq/tools/live-viewer,https://hanniganairquality.github.io/PBLinRuralSchools/fire-iq/tools/live-viewer/,Carbon Monoxide,,JavaScript UI text; h2 text,assets/js/viewers/fireiq-live-viewer.js:46; fire-iq/tools/live-viewer/index.html:147
fire-iq-tools-live-viewer.choose.the.ypod.firmware.schema.used.to.e0b0f6bd,fire-iq/tools/live-viewer,https://hanniganairquality.github.io/PBLinRuralSchools/fire-iq/tools/live-viewer/,Choose the YPOD firmware schema used to interpret incoming serial rows.,,span[data-help],fire-iq/tools/live-viewer/index.html:49
fire-iq-tools-live-viewer.choose.which.data.section.from.the.selected.086ec799,fire-iq/tools/live-viewer,https://hanniganairquality.github.io/PBLinRuralSchools/fire-iq/tools/live-viewer/,Choose which data section from the selected YAML version should map column names and units.,,span[data-help],fire-iq/tools/live-viewer/index.html:54
fire-iq-tools-live-viewer.choose.which.standard.live.plots.are.visible.db3b5853,fire-iq/tools/live-viewer,https://hanniganairquality.github.io/PBLinRuralSchools/fire-iq/tools/live-viewer/,Choose which standard live plots are visible.,,span[data-help],fire-iq/tools/live-viewer/index.html:109
fire-iq-tools-live-viewer.close.bbfa773e,fire-iq/tools/live-viewer,https://hanniganairquality.github.io/PBLinRuralSchools/fire-iq/tools/live-viewer/,Close,,JavaScript UI text,assets/js/core/live-viewer-tour.js:160
fire-iq-tools-live-viewer.co.550729bf,fire-iq/tools/live-viewer,https://hanniganairquality.github.io/PBLinRuralSchools/fire-iq/tools/live-viewer/,CO,,input text,fire-iq/tools/live-viewer/index.html:110
fire-iq-tools-live-viewer.co2.7765f1ee,fire-iq/tools/live-viewer,https://hanniganairquality.github.io/PBLinRuralSchools/fire-iq/tools/live-viewer/,CO2,,input text,fire-iq/tools/live-viewer/index.html:111
fire-iq-tools-live-viewer.connect.b65463cb,fire-iq/tools/live-viewer,https://hanniganairquality.github.io/PBLinRuralSchools/fire-iq/tools/live-viewer/,Connect,,button text,fire-iq/tools/live-viewer/index.html:30; fire-iq/tools/live-viewer/index.html:37
fire-iq-tools-live-viewer.connect.your.ypod.f512b98c,fire-iq/tools/live-viewer,https://hanniganairquality.github.io/PBLinRuralSchools/fire-iq/tools/live-viewer/,Connect your YPOD,,JavaScript UI text,assets/js/core/live-viewer-tour.js:33
fire-iq-tools-live-viewer.connected.c2f9b7b4,fire-iq/tools/live-viewer,https://hanniganairquality.github.io/PBLinRuralSchools/fire-iq/tools/live-viewer/,Connected,,JavaScript UI text,assets/js/viewers/fireiq-live-viewer.js:435
fire-iq-tools-live-viewer.connection.failed.202caaa8,fire-iq/tools/live-viewer,https://hanniganairquality.github.io/PBLinRuralSchools/fire-iq/tools/live-viewer/,Connection failed,,JavaScript UI text,assets/js/viewers/fireiq-live-viewer.js:279
fire-iq-tools-live-viewer.data.plotter.a1289b2a,fire-iq/tools/live-viewer,https://hanniganairquality.github.io/PBLinRuralSchools/fire-iq/tools/live-viewer/,Data Plotter,,a text,fire-iq/tools/live-viewer/index.html:15
fire-iq-tools-live-viewer.disconnect.ed28e068,fire-iq/tools/live-viewer,https://hanniganairquality.github.io/PBLinRuralSchools/fire-iq/tools/live-viewer/,Disconnect,,button text,fire-iq/tools/live-viewer/index.html:31; fire-iq/tools/live-viewer/index.html:38
fire-iq-tools-live-viewer.do.not.show.this.again.532e53ca,fire-iq/tools/live-viewer,https://hanniganairquality.github.io/PBLinRuralSchools/fire-iq/tools/live-viewer/,Do not show this again,,JavaScript UI text,assets/js/core/live-viewer-tour.js:98
fire-iq-tools-live-viewer.done.e9b450d1,fire-iq/tools/live-viewer,https://hanniganairquality.github.io/PBLinRuralSchools/fire-iq/tools/live-viewer/,Done,,JavaScript UI text,assets/js/core/live-viewer-tour.js:192
fire-iq-tools-live-viewer.dual.ypod.live.visualization.c59af01a,fire-iq/tools/live-viewer,https://hanniganairquality.github.io/PBLinRuralSchools/fire-iq/tools/live-viewer/,Dual YPOD Live Visualization,,h1 text,fire-iq/tools/live-viewer/index.html:23
fire-iq-tools-live-viewer.export.graph.view.b4e3a4a1,fire-iq/tools/live-viewer,https://hanniganairquality.github.io/PBLinRuralSchools/fire-iq/tools/live-viewer/,Export graph view,,section[aria-label],fire-iq/tools/live-viewer/index.html:178
fire-iq-tools-live-viewer.export.graph.view.png.e410cc01,fire-iq/tools/live-viewer,https://hanniganairquality.github.io/PBLinRuralSchools/fire-iq/tools/live-viewer/,Export graph view PNG,,button text,fire-iq/tools/live-viewer/index.html:179
fire-iq-tools-live-viewer.fire.iq.hub.f57b55fc,fire-iq/tools/live-viewer,https://hanniganairquality.github.io/PBLinRuralSchools/fire-iq/tools/live-viewer/,Fire-IQ hub,,a text,fire-iq/tools/live-viewer/index.html:14
fire-iq-tools-live-viewer.fire.iq.live.viewer.ea1cfe5b,fire-iq/tools/live-viewer,https://hanniganairquality.github.io/PBLinRuralSchools/fire-iq/tools/live-viewer/,Fire-IQ live viewer,,p text,fire-iq/tools/live-viewer/index.html:22
