key,page,page_link,english,translation,context,source_locations
fire-iq.aqiq.bf714c0d,fire-iq,https://hanniganairquality.github.io/PBLinRuralSchools/fire-iq/,AQIQ,,a text,fire-iq/index.html:14
fire-iq.connect.two.ypods.and.compare.co.co2.75736c44,fire-iq,https://hanniganairquality.github.io/PBLinRuralSchools/fire-iq/,"Connect two YPODs and compare CO, CO2, and PM2.5 streams in shared live plots.",,p text,fire-iq/index.html:29
fire-iq.curriculum.23364909,fire-iq,https://hanniganairquality.github.io/PBLinRuralSchools/fire-iq/,Curriculum,,h2 text,fire-iq/index.html:40
fire-iq.curriculum.links.will.be.added.here.7fe792f8,fire-iq,https://hanniganairquality.github.io/PBLinRuralSchools/fire-iq/,Curriculum links will be added here.,,p text,fire-iq/index.html:41
fire-iq.data.plotter.a1289b2a,fire-iq,https://hanniganairquality.github.io/PBLinRuralSchools/fire-iq/,Data Plotter,,h2 text,fire-iq/index.html:34
fire-iq.fire.investigation.questions.8aa259f9,fire-iq,https://hanniganairquality.github.io/PBLinRuralSchools/fire-iq/,Fire Investigation Questions,,h1 text,fire-iq/index.html:21
fire-iq.fire.iq.e5a9b8df,fire-iq,https://hanniganairquality.github.io/PBLinRuralSchools/fire-iq/,Fire-IQ,,p text,fire-iq/index.html:20
fire-iq.fire.iq.tools.2d869099,fire-iq,https://hanniganairquality.github.io/PBLinRuralSchools/fire-iq/,Fire-IQ tools,,section[aria-label],fire-iq/index.html:25
fire-iq.fire.iq.tools.haq.lab.pbl.401685eb,fire-iq,https://hanniganairquality.github.io/PBLinRuralSchools/fire-iq/,Fire-IQ Tools | HAQ Lab PBL,,title text,fire-iq/index.html:6
fire-iq.haq.lab.pbl.ecd45bff,fire-iq,https://hanniganairquality.github.io/PBLinRuralSchools/fire-iq/,HAQ Lab PBL,,a text,fire-iq/index.html:11
fire-iq.haq.lab.university.of.colorado.dee0c56d,fire-iq,https://hanniganairquality.github.io/PBLinRuralSchools/fire-iq/,"HAQ Lab, University of Colorado",,span text,fire-iq/index.html:46
fire-iq.live.65c821a5,fire-iq,https://hanniganairquality.github.io/PBLinRuralSchools/fire-iq/,Live,,span text,fire-iq/index.html:27; fire-iq/index.html:33
fire-iq.live.viewer.cea59129,fire-iq,https://hanniganairquality.github.io/PBLinRuralSchools/fire-iq/,Live Viewer,,h2 text,fire-iq/index.html:28
fire-iq.modified.ypod.tools.for.paired.fire.iq.fe49ffc2,fire-iq,https://hanniganairquality.github.io/PBLinRuralSchools/fire-iq/,"Modified YPOD tools for paired Fire-IQ live viewing, data plotting, and curriculum resources.",,p text,fire-iq/index.html:22
fire-iq.program.navigation.18aa621e,fire-iq,https://hanniganairquality.github.io/PBLinRuralSchools/fire-iq/,Program navigation,,nav[aria-label],fire-iq/index.html:12
fire-iq.programs.ab14d0a7,fire-iq,https://hanniganairquality.github.io/PBLinRuralSchools/fire-iq/,Programs,,a text,fire-iq/index.html:13
fire-iq.upload.two.ypod.csv.files.to.compare.eb261919,fire-iq,https://hanniganairquality.github.io/PBLinRuralSchools/fire-iq/,"Upload two YPOD CSV files to compare CO, CO2, and PM2.5 measurements.",,p text,fire-iq/index.html:35
