key,page,page_link,english,translation,context,source_locations
home.aqiq.bf714c0d,Home,https://hanniganairquality.github.io/PBLinRuralSchools/,AQIQ,,span text,index.html:25
home.fire.iq.e5a9b8df,Home,https://hanniganairquality.github.io/PBLinRuralSchools/,Fire-IQ,,span text,index.html:32
home.haq.lab.pbl.ecd45bff,Home,https://hanniganairquality.github.io/PBLinRuralSchools/,HAQ Lab PBL,,a text,index.html:11
home.haq.lab.pbl.home.81f15476,Home,https://hanniganairquality.github.io/PBLinRuralSchools/,HAQ Lab PBL home,,a[aria-label],index.html:11
home.haq.lab.pbl.programs.48fe8385,Home,https://hanniganairquality.github.io/PBLinRuralSchools/,HAQ Lab PBL Programs,,title text,index.html:6
home.haq.lab.university.of.colorado.dee0c56d,Home,https://hanniganairquality.github.io/PBLinRuralSchools/,"HAQ Lab, University of Colorado",,span text,index.html:53
home.not.available.yet.a1db9d59,Home,https://hanniganairquality.github.io/PBLinRuralSchools/,Not available yet,,span text,index.html:47
home.open.hub.278c1ebb,Home,https://hanniganairquality.github.io/PBLinRuralSchools/,Open hub,,span text,index.html:26; index.html:33; index.html:40
home.program.selector.3b28372e,Home,https://hanniganairquality.github.io/PBLinRuralSchools/,Program selector,,p text,index.html:17
home.programs.ab14d0a7,Home,https://hanniganairquality.github.io/PBLinRuralSchools/,Programs,,nav[aria-label],index.html:21
home.spod.a11a610e,Home,https://hanniganairquality.github.io/PBLinRuralSchools/,SPOD,,span text,index.html:38
home.sqiq.0c578e07,Home,https://hanniganairquality.github.io/PBLinRuralSchools/,SQIQ,,span text,index.html:39
home.tbd.a6303a49,Home,https://hanniganairquality.github.io/PBLinRuralSchools/,TBD,,span text,index.html:45
home.university.of.colorado.25ba6be4,Home,https://hanniganairquality.github.io/PBLinRuralSchools/,University of Colorado,,span text,index.html:12
home.water.iq.9183b305,Home,https://hanniganairquality.github.io/PBLinRuralSchools/,Water-IQ,,span text,index.html:46
home.water.iq.not.available.yet.7a693cbb,Home,https://hanniganairquality.github.io/PBLinRuralSchools/,"Water-IQ, not available yet",,a[aria-label],index.html:43
home.which.program.are.you.in.04fda43b,Home,https://hanniganairquality.github.io/PBLinRuralSchools/,Which program are you in?,,h1 text,index.html:18
home.ypod.62b00089,Home,https://hanniganairquality.github.io/PBLinRuralSchools/,YPOD,,span text,index.html:24
home.ypod.mod.b57ed57e,Home,https://hanniganairquality.github.io/PBLinRuralSchools/,YPOD mod,,span text,index.html:31
