key,page,page_link,english,translation,context,source_locations
sqiq-tools-data-plotter.adu.c08c07e7,sqiq/tools/data-plotter,https://hanniganairquality.github.io/PBLinRuralSchools/sqiq/tools/data-plotter/,[ADU],,span text,sqiq/tools/data-plotter/index.html:96; sqiq/tools/data-plotter/index.html:97
sqiq-tools-data-plotter.celsius.3f2a0f34,sqiq/tools/data-plotter,https://hanniganairquality.github.io/PBLinRuralSchools/sqiq/tools/data-plotter/,[Celsius],,span text,sqiq/tools/data-plotter/index.html:94
sqiq-tools-data-plotter.ppm.f3842795,sqiq/tools/data-plotter,https://hanniganairquality.github.io/PBLinRuralSchools/sqiq/tools/data-plotter/,[ppm],,span text,sqiq/tools/data-plotter/index.html:95
sqiq-tools-data-plotter.advanced.settings.and.file.details.1bf227db,sqiq/tools/data-plotter,https://hanniganairquality.github.io/PBLinRuralSchools/sqiq/tools/data-plotter/,Advanced settings and file details,,summary text,sqiq/tools/data-plotter/index.html:39
sqiq-tools-data-plotter.basic.plot.selection.d3e7160b,sqiq/tools/data-plotter,https://hanniganairquality.github.io/PBLinRuralSchools/sqiq/tools/data-plotter/,Basic plot selection,,section[aria-label],sqiq/tools/data-plotter/index.html:82
sqiq-tools-data-plotter.carbon.dioxide.8468c776,sqiq/tools/data-plotter,https://hanniganairquality.github.io/PBLinRuralSchools/sqiq/tools/data-plotter/,Carbon Dioxide,,h2 text; input text,sqiq/tools/data-plotter/index.html:86; sqiq/tools/data-plotter/index.html:95
sqiq-tools-data-plotter.data.visualization.controls.426ff98b,sqiq/tools/data-plotter,https://hanniganairquality.github.io/PBLinRuralSchools/sqiq/tools/data-plotter/,Data visualization controls,,section[aria-label],sqiq/tools/data-plotter/index.html:26
sqiq-tools-data-plotter.elapsed.from.start.791ea68c,sqiq/tools/data-plotter,https://hanniganairquality.github.io/PBLinRuralSchools/sqiq/tools/data-plotter/,Elapsed from start,,option text,sqiq/tools/data-plotter/index.html:64
sqiq-tools-data-plotter.elapsed.time.starts.the.recording.at.00.73e7dd27,sqiq/tools/data-plotter,https://hanniganairquality.github.io/PBLinRuralSchools/sqiq/tools/data-plotter/,Elapsed time starts the recording at 00:00:00. Recorded date and time preserves the timestamps stored in the file.,,span[data-help],sqiq/tools/data-plotter/index.html:63
sqiq-tools-data-plotter.export.graph.view.b4e3a4a1,sqiq/tools/data-plotter,https://hanniganairquality.github.io/PBLinRuralSchools/sqiq/tools/data-plotter/,Export graph view,,section[aria-label],sqiq/tools/data-plotter/index.html:101
sqiq-tools-data-plotter.export.graph.view.png.e410cc01,sqiq/tools/data-plotter,https://hanniganairquality.github.io/PBLinRuralSchools/sqiq/tools/data-plotter/,Export graph view PNG,,button text,sqiq/tools/data-plotter/index.html:102
sqiq-tools-data-plotter.file.readout.166ae9e1,sqiq/tools/data-plotter,https://hanniganairquality.github.io/PBLinRuralSchools/sqiq/tools/data-plotter/,File readout,,section[aria-label],sqiq/tools/data-plotter/index.html:74
sqiq-tools-data-plotter.haq.lab.pbl.ecd45bff,sqiq/tools/data-plotter,https://hanniganairquality.github.io/PBLinRuralSchools/sqiq/tools/data-plotter/,HAQ Lab PBL,,a text,sqiq/tools/data-plotter/index.html:11
sqiq-tools-data-plotter.haq.lab.university.of.colorado.dee0c56d,sqiq/tools/data-plotter,https://hanniganairquality.github.io/PBLinRuralSchools/sqiq/tools/data-plotter/,"HAQ Lab, University of Colorado",,span text,sqiq/tools/data-plotter/index.html:107
sqiq-tools-data-plotter.horizontal.zoom.help.96cb4fc2,sqiq/tools/data-plotter,https://hanniganairquality.github.io/PBLinRuralSchools/sqiq/tools/data-plotter/,Horizontal zoom help,,span[aria-label],sqiq/tools/data-plotter/index.html:67
sqiq-tools-data-plotter.horizontal.zoom.abd40009,sqiq/tools/data-plotter,https://hanniganairquality.github.io/PBLinRuralSchools/sqiq/tools/data-plotter/,Horizontal zoom:,,span text,sqiq/tools/data-plotter/index.html:67
sqiq-tools-data-plotter.interactive.carbon.dioxide.chart.1e4dc3d3,sqiq/tools/data-plotter,https://hanniganairquality.github.io/PBLinRuralSchools/sqiq/tools/data-plotter/,Interactive carbon dioxide chart,,canvas[aria-label],sqiq/tools/data-plotter/index.html:95
sqiq-tools-data-plotter.interactive.soil.chart.92e37f46,sqiq/tools/data-plotter,https://hanniganairquality.github.io/PBLinRuralSchools/sqiq/tools/data-plotter/,Interactive soil chart,,canvas[aria-label],sqiq/tools/data-plotter/index.html:96
sqiq-tools-data-plotter.interactive.temperature.chart.5b626cad,sqiq/tools/data-plotter,https://hanniganairquality.github.io/PBLinRuralSchools/sqiq/tools/data-plotter/,Interactive temperature chart,,canvas[aria-label],sqiq/tools/data-plotter/index.html:94
sqiq-tools-data-plotter.interactive.uv.index.chart.71b3ef14,sqiq/tools/data-plotter,https://hanniganairquality.github.io/PBLinRuralSchools/sqiq/tools/data-plotter/,Interactive UV index chart,,canvas[aria-label],sqiq/tools/data-plotter/index.html:98
sqiq-tools-data-plotter.interactive.visible.and.infrared.light.chart.6b14481a,sqiq/tools/data-plotter,https://hanniganairquality.github.io/PBLinRuralSchools/sqiq/tools/data-plotter/,Interactive visible and infrared light chart,,canvas[aria-label],sqiq/tools/data-plotter/index.html:97
sqiq-tools-data-plotter.limit.the.plots.to.the.most.recent.ab7f9881,sqiq/tools/data-plotter,https://hanniganairquality.github.io/PBLinRuralSchools/sqiq/tools/data-plotter/,Limit the plots to the most recent number of minutes in the file. Use 0 to show the entire recording.,,span[data-help],sqiq/tools/data-plotter/index.html:55
sqiq-tools-data-plotter.live.viewer.cea59129,sqiq/tools/data-plotter,https://hanniganairquality.github.io/PBLinRuralSchools/sqiq/tools/data-plotter/,Live Viewer,,a text,sqiq/tools/data-plotter/index.html:14
sqiq-tools-data-plotter.load.csv.60c92e84,sqiq/tools/data-plotter,https://hanniganairquality.github.io/PBLinRuralSchools/sqiq/tools/data-plotter/,Load CSV,,button text,sqiq/tools/data-plotter/index.html:29
sqiq-tools-data-plotter.loading.spod.schema.35d4278a,sqiq/tools/data-plotter,https://hanniganairquality.github.io/PBLinRuralSchools/sqiq/tools/data-plotter/,Loading SPOD schema...,,span text,sqiq/tools/data-plotter/index.html:52
sqiq-tools-data-plotter.no.file.loaded.fca044b8,sqiq/tools/data-plotter,https://hanniganairquality.github.io/PBLinRuralSchools/sqiq/tools/data-plotter/,No file loaded,,div text,sqiq/tools/data-plotter/index.html:32
