key,page,page_link,english,translation,context,source_locations
sqiq-tools-live-viewer.chart.sources.length.plots.axissummary.69ea5af4,sqiq/tools/live-viewer,https://hanniganairquality.github.io/PBLinRuralSchools/sqiq/tools/live-viewer/,${chart.sources.length} plots${axisSummary ?,,JavaScript UI text,assets/js/viewers/aqiq-live-viewer.js:2361
sqiq-tools-live-viewer.version.section.has.no.columns.a11e6667,sqiq/tools/live-viewer,https://hanniganairquality.github.io/PBLinRuralSchools/sqiq/tools/live-viewer/,${version} ${section} has no columns.,,JavaScript UI text,assets/js/core/ypod-yaml.js:271
sqiq-tools-live-viewer.version.does.not.define.section.dd422acd,sqiq/tools/live-viewer,https://hanniganairquality.github.io/PBLinRuralSchools/sqiq/tools/live-viewer/,${version} does not define ${section}.,,JavaScript UI text,assets/js/core/ypod-yaml.js:265
sqiq-tools-live-viewer.version.was.not.found.in.the.pod.027bb5b2,sqiq/tools/live-viewer,https://hanniganairquality.github.io/PBLinRuralSchools/sqiq/tools/live-viewer/,${version} was not found in the POD YAML.,,JavaScript UI text,assets/js/core/ypod-yaml.js:259
sqiq-tools-live-viewer.advanced.settings.2e8bbf39,sqiq/tools/live-viewer,https://hanniganairquality.github.io/PBLinRuralSchools/sqiq/tools/live-viewer/,Advanced settings,,summary text,sqiq/tools/live-viewer/index.html:34
sqiq-tools-live-viewer.basic.plot.selection.d3e7160b,sqiq/tools/live-viewer,https://hanniganairquality.github.io/PBLinRuralSchools/sqiq/tools/live-viewer/,Basic plot selection,,section[aria-label],sqiq/tools/live-viewer/index.html:70
sqiq-tools-live-viewer.carbon.dioxide.8468c776,sqiq/tools/live-viewer,https://hanniganairquality.github.io/PBLinRuralSchools/sqiq/tools/live-viewer/,Carbon Dioxide,,h2 text; input text; span text,sqiq/tools/live-viewer/index.html:74; sqiq/tools/live-viewer/index.html:84; sqiq/tools/live-viewer/index.html:98
sqiq-tools-live-viewer.choose.the.spod.firmware.schema.used.to.6721ad37,sqiq/tools/live-viewer,https://hanniganairquality.github.io/PBLinRuralSchools/sqiq/tools/live-viewer/,Choose the SPOD firmware schema used to interpret incoming serial rows.,,span[data-help],sqiq/tools/live-viewer/index.html:37
sqiq-tools-live-viewer.choose.which.data.section.from.the.selected.66b3329c,sqiq/tools/live-viewer,https://hanniganairquality.github.io/PBLinRuralSchools/sqiq/tools/live-viewer/,Choose which data section from the selected SPOD version maps column names and units.,,span[data-help],sqiq/tools/live-viewer/index.html:41
sqiq-tools-live-viewer.choose.which.standard.sqiq.live.plots.are.1fc0d0d3,sqiq/tools/live-viewer,https://hanniganairquality.github.io/PBLinRuralSchools/sqiq/tools/live-viewer/,Choose which standard SQIQ live plots are visible.,,span[data-help],sqiq/tools/live-viewer/index.html:72
sqiq-tools-live-viewer.columns.cf723c59,sqiq/tools/live-viewer,https://hanniganairquality.github.io/PBLinRuralSchools/sqiq/tools/live-viewer/,Columns,,legend text,sqiq/tools/live-viewer/index.html:57
sqiq-tools-live-viewer.columns.help.4f441013,sqiq/tools/live-viewer,https://hanniganairquality.github.io/PBLinRuralSchools/sqiq/tools/live-viewer/,Columns help,,span[aria-label],sqiq/tools/live-viewer/index.html:57
sqiq-tools-live-viewer.connect.b65463cb,sqiq/tools/live-viewer,https://hanniganairquality.github.io/PBLinRuralSchools/sqiq/tools/live-viewer/,Connect,,button text,sqiq/tools/live-viewer/index.html:27
