key,page,page_link,english,translation,context,source_locations
water-iq.aqiq.bf714c0d,water-iq,https://hanniganairquality.github.io/PBLinRuralSchools/water-iq/,AQIQ,,a text,water-iq/index.html:14
water-iq.back.to.program.selector.2f03afed,water-iq,https://hanniganairquality.github.io/PBLinRuralSchools/water-iq/,Back to program selector,,a text,water-iq/index.html:25
water-iq.fire.iq.e5a9b8df,water-iq,https://hanniganairquality.github.io/PBLinRuralSchools/water-iq/,Fire-IQ,,a text,water-iq/index.html:15
water-iq.haq.lab.pbl.ecd45bff,water-iq,https://hanniganairquality.github.io/PBLinRuralSchools/water-iq/,HAQ Lab PBL,,a text,water-iq/index.html:11
water-iq.haq.lab.university.of.colorado.dee0c56d,water-iq,https://hanniganairquality.github.io/PBLinRuralSchools/water-iq/,"HAQ Lab, University of Colorado",,span text,water-iq/index.html:31
water-iq.placeholder.page.for.future.water.investigation.tools.dab22b8b,water-iq,https://hanniganairquality.github.io/PBLinRuralSchools/water-iq/,Placeholder page for future water investigation tools and curriculum resources.,,p text,water-iq/index.html:23
water-iq.program.navigation.18aa621e,water-iq,https://hanniganairquality.github.io/PBLinRuralSchools/water-iq/,Program navigation,,nav[aria-label],water-iq/index.html:12
water-iq.programs.ab14d0a7,water-iq,https://hanniganairquality.github.io/PBLinRuralSchools/water-iq/,Programs,,a text,water-iq/index.html:13
water-iq.water.iq.9183b305,water-iq,https://hanniganairquality.github.io/PBLinRuralSchools/water-iq/,Water-IQ,,p text,water-iq/index.html:21
water-iq.water.iq.coming.soon.haq.lab.pbl.242337a6,water-iq,https://hanniganairquality.github.io/PBLinRuralSchools/water-iq/,Water-IQ Coming Soon | HAQ Lab PBL,,title text,water-iq/index.html:6
water-iq.water.iq.is.not.available.yet.9d7ea1cb,water-iq,https://hanniganairquality.github.io/PBLinRuralSchools/water-iq/,Water-IQ is not available yet.,,h1 text,water-iq/index.html:22
